id,name,time,servings,calories,protein,carbs,fat,sugar,cholesterol,fiber,tags,ingredients,steps,image,source,credits
109,Cheesy Potato Casserole Ore-ida,10,1,695,10,28,53,0,60,7,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""nonstick cooking spray"", ""1 (10.5 ounce) can condensed cream of chicken soup"", ""2 cups sour cream"", ""1 teaspoon salt"", ""0.25 teaspoon ground black pepper"", ""2 cups shredded Cheddar cheese"", ""0.33333334326744 cup sliced green onions"", ""1 (30 ounce) package Ore-Ida\u00ae Shredded Hash Brown Potatoes"", ""2 cups crushed corn flakes cereal"", ""0.25 cup butter, melted""]","[""Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with nonstick spray."", ""Mix sour cream, condensed soup, salt, and pepper together in a large bowl."", ""Stir in Cheddar cheese, green onions, and hash brown potatoes until well mixed."", ""Spread evenly into the prepared baking dish."", ""Mix crushed cereal and melted butter together in a medium bowl. Sprinkle evenly over the casserole."", ""Bake uncovered until hot and bubbly, 45 to 50 minutes. Remove from the oven and let rest for 5 minutes before serving."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/241797/cheesy-potato-casserole-from-ore-ida/
110,Mac Cheese,10,4,200,5,14,13,0,15,2,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""8 ounces uncooked elbow macaroni"", ""0.25 cup salted butter"", ""3 tablespoons all-purpose flour"", ""2.5 cups milk, or more as needed"", ""2 cups shredded sharp Cheddar cheese"", ""0.5 cup finely grated Parmesan cheese"", ""salt and ground black pepper to taste"", ""2 tablespoons salted butter"", ""0.5 cup dry bread crumbs"", ""1 pinch ground paprika""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish."", ""To make the macaroni and cheese: Bring a large pot of lightly salted water to a boil. Add macaroni and simmer, stirring occasionally, until tender yet firm to the bite, about 8 minutes; it will finish cooking in the oven. Drain and transfer to the prepared baking dish."", ""While the macaroni is cooking, melt 1/4 cup butter in a medium skillet over low heat. Whisk in flour and stir until the mixture becomes paste-like and light golden brown, 3 to 5 minutes."", ""Gradually whisk 2 \u00bd cups milk into the flour mixture, and bring to a simmer."", ""Stir in shredded Cheddar and finely grated Parmesan cheeses; season with salt and pepper. Cook and stir over low heat until cheese is melted and sauce has thickened, 3 to 5 minutes, adding up to 1/2 cup more milk if needed."", ""Pour cheese sauce over macaroni and stir until well combined."", ""Make the bread crumb topping: Melt 2 tablespoons butter in a skillet over medium heat. Add bread crumbs; cook and stir until well coated and browned."", ""Spread bread crumbs over macaroni and cheese, then sprinkle with paprika."", ""Bake in the preheated oven until topping is golden brown and macaroni and cheese is bubbling, about 30 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/
111,Sausage Breakfast Casserole,15,8,100,5,5,2,0,1,1,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (16 ounce) package bulk breakfast sausage"", ""1 green onion, chopped"", ""1 (16 ounce) package hash brown potatoes"", ""2 cups shredded Cheddar cheese"", ""6 large eggs, lightly beaten"", ""1 cup milk"", ""1 (2.64 ounce) package country gravy mix"", ""1 pinch ground paprika, or to taste""]","[""Preheat the oven to 325 degrees F (165 degrees C). Grease an 8x11-inch baking dish."", ""Cook and stir breakfast sausage in a skillet over medium heat until browned and crumbly, about 10 minutes; drain excess grease."", ""Mix green onion into the sausage and spread into the bottom of the prepared baking dish."", ""Spread hash brown potatoes in a layer over top; sprinkle with Cheddar cheese."", ""Whisk eggs, milk, and gravy mix together in a bowl until smooth; pour over casserole. Season with paprika."", ""Bake in the preheated oven until a knife inserted into the center of the casserole comes out clean, about 1 hour. Let stand 10 minutes to firm up before serving.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/230966/country-sunday-breakfast-casserole/
112,Vegetable Chowder,15,7,107,6,10,3,0,5,2,"[""vegetarian"", ""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.25 cup margarine"", ""0.5 cup chopped red bell pepper"", ""0.5 cup chopped onion"", ""3 cups water"", ""1 cup chopped celery"", ""1 cup diced carrots"", ""1 cup cauliflower, chopped"", ""1 cup fresh chopped broccoli"", ""3 cubes chicken bouillon"", ""salt to taste"", ""ground black pepper to taste"", ""1.5 cups milk"", ""0.5 cup all-purpose flour"", ""1 tablespoon chopped fresh parsley"", ""3 cups shredded Cheddar cheese""]","[""Melt margarine in a Dutch oven or soup pot over medium-high heat. Add bell pepper and onion; cook until tender."", ""Add water, celery, carrots, cauliflower, broccoli, bouillon cubes, salt, and black pepper; bring to a boil. Reduce heat; simmer, covered, until vegetables are tender, about 20 minutes."", ""Whisk milk and flour together in a bowl until smooth; stir into soup. Bring soup to a boil; cook and stir 2 minutes. Stir in parsley. Just before serving, stir in Cheddar cheese until melted.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/12899/vegetable-chowder/
113,Italian Pasta Salad,15,12,100,5,5,2,0,1,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (12 ounce) package tri-color rotini pasta"", ""0.75 pound Italian salami, finely diced"", ""0.5 green bell pepper, sliced"", ""0.5 red bell pepper, sliced"", ""0.5 red onion, chopped"", ""1 (6 ounce) can sliced black olives"", ""8 ounces small fresh mozzarella balls (ciliegine)"", ""1 cup Italian-style salad dressing"", ""3 (.7 ounce) packages dry Italian-style salad dressing mix, or to taste"", ""0.5 cup shredded Parmesan cheese""]","[""Gather all ingredients."", ""Bring a large pot of lightly salted water to a boil. Cook rotini pasta at a boil until tender yet firm to the bite, about 8 minutes. Drain and rinse with cold water until cool."", ""Combine pasta, salami, bell peppers, onion, mozzarella balls, and olives in a large bowl. Add salad dressing and toss to coat."", ""Season pasta salad with dry salad dressing mix and stir to combine."", ""Sprinkle with Parmesan cheese before serving. Enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/222750/quick-italian-pasta-salad/
114,Chicken Makhani Indian Butter Chicken,10,4,222,11,17,9,0,13,4,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 tablespoons peanut oil, divided"", ""1 shallot, finely chopped"", ""0.25 white onion, chopped"", ""2 tablespoons butter"", ""1 tablespoon ginger garlic paste"", ""2 teaspoons lemon juice"", ""2 teaspoons garam masala, divided"", ""1 teaspoon chili powder"", ""1 teaspoon ground cumin"", ""1 bay leaf"", ""1 cup tomato puree"", ""1 cup half-and-half"", ""0.25 cup plain yogurt"", ""1 pinch salt and ground black pepper to taste"", ""1 pound boneless, skinless chicken thighs, cut into bite-size pieces""]","[""Heat 1 tablespoon oil in a large saucepan over medium-high heat. Saut\u00e9 shallot and onion until soft and translucent, about 5 minutes."", ""Stir in butter, ginger-garlic paste, lemon juice, 1 teaspoon garam masala, chili powder, cumin, and bay leaf. Cook and stir for 1 minute. Add tomato sauce, and cook for 2 minutes, continuing to frequently stir."", ""Stir in half-and-half and yogurt. Reduce heat to low, and simmer for 10 minutes, frequently stirring. Season with salt and pepper. Remove from heat and set aside."", ""Heat remaining 1 tablespoon oil in a large heavy skillet over medium heat. Cook chicken until lightly browned, about 10 minutes."", ""Reduce heat, and season with remaining 1 teaspoon garam masala and cayenne. Stir in a few spoonfuls of sauce, and simmer until liquid has reduced, and chicken is no longer pink. Add cooked chicken into sauce and stir together."", ""Dissolve cornstarch into water, then mix into the sauce. Cook for 5 to 10 minutes, or until thickened."", ""Serve over rice with naan.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/45957/chicken-makhani-indian-butter-chicken/
115,Better Than Sex Cake German Chocolate Cake Mix,20,1,400,14,35,19,0,15,7,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (15.25 ounce) package German chocolate cake mix"", ""1.25 cups water"", ""0.5 cup vegetable oil"", ""3 large eggs"", ""1 (14 ounce) can sweetened condensed milk"", ""2 cups hot fudge topping"", ""1 (12 ounce) container frozen whipped topping, thawed"", ""4 (1.4 ounce) bars English toffee-flavored candy, crushed""]","[""Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch glass baking dish."", ""Mix cake mix, water, oil, and eggs in a large bowl with an electric mixer on medium speed until well combined. Pour batter into the prepared baking dish."", ""Bake in the preheated oven until a toothpick inserted in the center comes out clean, 30 to 35 minutes. Remove from the oven and set the baking dish on a wire rack."", ""While the cake is still very warm, poke holes all over the top with the end of a wooden spoon. Pour condensed milk over cake and let cool, 20 to 30 minutes."", ""Pour hot fudge topping over cooled cake and let set, 20 to 30 minutes."", ""Spread whipped topping over top and sprinkle with crushed toffee.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/7421/better-than-sex-cake-i/
116,Mamaw's Chicken Rice Casserole,10,1,740,24,28,50,0,85,4,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""3 chicken breasts, cut into cubes"", ""2 cups water"", ""2 cups instant white rice"", ""1 (10.75 ounce) can cream of chicken soup"", ""1 (10.75 ounce) can cream of celery soup"", ""1 (10.75 ounce) can cream of mushroom soup"", ""salt and ground black pepper to taste"", ""0.5 cup butter, sliced into pats""]","[""Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C). Grease sides and bottom of a casserole dish."", ""Stir chicken, water, rice, cream of chicken soup, cream of celery soup, and cream of mushroom soup together in the prepared casserole dish; season with salt and pepper."", ""Arrange butter evenly over the top of the chicken mixture."", ""Bake in the preheated oven until the rice is tender and the chicken is cooked through, 1 hour to 75 minutes."", ""Cool 10 to 15 minutes before serving. Enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/233983/mamaws-chicken-and-rice-casserole/
117,Macaroni Cheese,10,4,120,5,9,7,0,7,1,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (8 ounce) box elbow macaroni"", ""0.25 cup butter"", ""0.25 cup all-purpose flour"", ""0.5 teaspoon salt"", ""ground black pepper to taste"", ""2 cups milk"", ""2 cups shredded Cheddar cheese""]","[""Gather the ingredients."", ""Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes."", ""At the same time, melt butter in a saucepan over medium heat."", ""Add flour, salt, and pepper and stir until smooth, about 5 minutes."", ""Pour in milk slowly, while stirring continuously. Continue to cook and stir until mixture is smooth and bubbling, about 5 minutes, making sure the milk doesn&#39;t burn."", ""Add Cheddar cheese and stir until melted, 2 to 4 minutes."", ""Drain macaroni and fold into cheese sauce until coated."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/
118,Vegan Chocolate Cake,15,1,500,12,48,18,15,15,8,"[""vegan"", ""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1.5 cups all-purpose flour"", ""1 cup white sugar"", ""0.25 cup cocoa powder"", ""1 teaspoon baking soda"", ""0.5 teaspoon salt"", ""1 cup water"", ""0.33333334326744 cup vegetable oil"", ""1 teaspoon vanilla extract"", ""1 teaspoon distilled white vinegar""]","[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x5-inch loaf pan."", ""Sift flour, sugar, cocoa, baking soda, and salt together in a large bowl."", ""Add water, oil, vanilla, and vinegar; mix together until smooth."", ""Pour mixture into the prepared pan."", ""Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes."", ""Serve with berries.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16779/vegan-chocolate-cake/
119,Make-ahead Lunch Wraps,30,1,480,10,61,17,0,15,9,"[""vegetarian"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 cups uncooked brown rice"", ""4 cups water"", ""4 (15 ounce) cans black beans"", ""2 (15.5 ounce) cans pinto beans"", ""1 (10 ounce) can whole kernel corn"", ""1 (10 ounce) can diced tomatoes and green chiles"", ""16 (10 inch) flour tortillas"", ""1 pound shredded pepperjack cheese""]","[""Gather the ingredients."", ""Combine rice and water in a saucepan and bring to a boil. Reduce the heat to low, cover, and simmer for 35 to 40 minutes, or until tender. Remove from the heat and let and cool."", ""Meanwhile, rinse black beans and pinto beans in a colander or strainer. Transfer beans to a large bowl. Mix in corn and diced tomatoes with green chiles, then mix in cooled rice and pepper Jack cheese."", ""Divide mixture evenly among tortillas and roll up."", ""Wrap individually in plastic wrap, place into a large freezer bag, and freeze. Reheat as needed in the microwave for lunch or snacks.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/58246/make-ahead-lunch-wraps/
120,Indian Eggplant — Bhurtha,15,4,147,5,15,5,0,3,3,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 eggplant"", ""2 tablespoons vegetable oil"", ""0.5 teaspoon cumin seeds"", ""1 medium onion, sliced"", ""1 clove garlic, minced"", ""1 teaspoon chopped fresh ginger"", ""1 large tomato - peeled, seeded and diced"", ""0.5 teaspoon ground turmeric"", ""0.5 teaspoon ground cumin"", ""0.5 teaspoon ground coriander"", ""0.25 teaspoon cayenne pepper"", ""0.5 teaspoon salt, or to taste"", ""ground black pepper to taste"", ""0.25 cup chopped fresh cilantro""]","[""Preheat the oven&#39;s broiler. Rub oil on eggplant."", ""Broil until flesh is soft and skin blisters, about 30 minutes. Turn as needed for even cooking. Cut eggplant in half lengthwise, scoop out flesh, and discard skin; chop and set aside."", ""Heat oil in a large skillet or wok over medium-high heat. Add cumin seeds; let crackle for a few seconds and turn golden brown without burning. Add onion, garlic, and ginger; cook and stir until tender. Stir in tomato; season with turmeric, ground cumin, ground coriander, cayenne pepper, salt, and black pepper. Cook and stir for a few minutes."", ""Place eggplant in the skillet; cook until some moisture evaporates, 10 to 15 minutes. Adjust seasonings if desired. Garnish with fresh cilantro, and serve.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/80686/indian-eggplant-bhurtha/
121,Banana Bread - Quick Bread Machines,15,1,420,8,38,16,15,15,6,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 bananas, peeled and halved lengthwise"", ""2 cups all-purpose flour"", ""0.75 cup white sugar"", ""2 large eggs"", ""3 tablespoons vegetable oil"", ""1 teaspoon baking powder"", ""0.5 teaspoon baking soda""]","[""Place bananas, flour, sugar, eggs, oil, baking powder, and baking soda in the pan of the bread machine."", ""Select Dough setting; press Start. Mix dough until well combined and bananas are mashed, 3 to 5 minutes. Use a rubber spatula to push dough from the sides of the bread pan if necessary. Press Stop, then smooth out the top of the loaf with a rubber spatula."", ""Select Bake setting; press Start. Bake in the bread machine until a toothpick inserted into the center comes out clean, about 50 minutes. If there is batter on the toothpick, reset the machine on Bake and continue baking for 10 to 15 minutes."", ""Remove the pan from the machine. Allow bread to remain in the pan for 10 minutes before transferring it to a wire rack to cool completely.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/7116/banana-bread-quick-bread-for-machines/
122,Dawn's Easy Red Velvet Sandwich Cookies,25,1,700,14,35,43,15,45,7,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (18.25 ounce) box red velvet cake mix"", ""2 eggs, lightly beaten"", ""0.5 cup vegetable oil"", ""1 tablespoon bourbon"", ""1 (8 ounce) package cream cheese, softened"", ""0.25 cup butter, softened"", ""2 teaspoons evaporated milk"", ""1 teaspoon vanilla"", ""0.5 cup flaked coconut"", ""4 cups confectioners' sugar"", ""0.5 cup chopped pecans""]","[""Preheat the oven to 375 degrees F (190 degrees C)."", ""Mix together cake mix, eggs, oil, and bourbon in a large bowl. Roll the dough into balls the size of walnuts. Place 2 inches apart on ungreased baking sheets."", ""Bake cookies in the preheated oven until the tops start to crack, about 8 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack."", ""To make the icing: Combine cream cheese, butter, evaporated milk, vanilla, and coconut in a large bowl. Add confectioners&#39; sugar, 1 cup at a time, mixing well with each addition. If consistency is too stiff, add more milk."", ""Place the chopped pecans in a bowl. Spread a generous amount of icing on the bottom of a cookie, sandwich it with another cookie, pressing firmly so that the icing comes all the way out to the edge. Roll the edges of the sandwich cookies in the chopped pecans. Repeat with the remaining cookies.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/186936/dawns-easy-red-velvet-sandwich-cookies/
123,Broccoli Salad,15,8,100,5,5,2,1,0,1,"[""vegetarian"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.5 pound bacon"", ""2 heads fresh broccoli"", ""1 small red onion"", ""0.75 cup raisins"", ""0.75 cup sliced almonds"", ""1 cup mayonnaise"", ""0.5 cup white sugar"", ""2 tablespoons white wine vinegar""]","[""Gather all ingredients."", ""Place bacon in a deep skillet and cook over medium-high heat until evenly brown, 7 to 10 minutes; drain, cool, and crumble."", ""Combine bacon, broccoli, onion, raisins, and almonds together in a bowl; mix well."", ""To prepare the dressing: Mix mayonnaise, sugar, and vinegar together until smooth."", ""Stir into the salad."", ""Let chill before serving, if desired.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/14280/fresh-broccoli-salad/
124,Bread Machine Banana Nut Bread,10,1,460,16,58,8,15,0,10,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.5 cup margarine, softened"", ""0.66670000553131 cup milk"", ""2 eggs"", ""2.5 cups all-purpose flour"", ""1 cup white sugar"", ""2.5 teaspoons baking powder"", ""0.5 teaspoon baking soda"", ""1 teaspoon salt"", ""0.66670000553131 cup mashed bananas"", ""0.5 cup chopped walnuts""]","[""Spray bread machine pan with vegetable oil spray."", ""Premix ingredients in order listed. Place mixture in bread machine pan."", ""Select the Quick Bread/Cake cycle. Press Start. Check after 1 minute to see if mixture is well blended."", ""Cook until cake cycle stops. Remove pan, and cool completely before removing bread from pan.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/7141/banana-nut-bread-ii/
125,Breakfast Sausage,10,1,400,32,30,6,15,25,6,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 tablespoon brown sugar"", ""2 teaspoons dried sage"", ""2 teaspoons salt"", ""1 teaspoon ground black pepper"", ""0.25 teaspoon dried marjoram"", ""0.125 teaspoon crushed red pepper flakes"", ""1 pinch ground cloves"", ""2 pounds ground pork""]","[""Gather all ingredients."", ""Mix together brown sugar, sage, salt, black pepper, marjoram, red pepper flakes, and cloves in a small bowl until well combined."", ""Place pork in a large bowl. Add spice mixture and mix with your hands until well combined. Form mixture into 6 patties."", ""Heat a large skillet over medium-high heat. Add patties and saute until browned and crispy, about 5 minutes per side. An instant-read thermometer inserted into the center should read at least 160 degrees F (71 degrees C)."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16359/breakfast-sausage/
126,Pub-style Vegetarian Chili,30,8,100,5,10,3,0,1,2,"[""vegetarian"", ""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.33333334326744 cup olive oil"", ""2 cups sliced fresh mushrooms"", ""1 cup finely chopped onion"", ""1 cup chopped carrot"", ""0.75 cup chopped green bell pepper"", ""0.25 cup chopped celery"", ""1 tablespoon minced garlic"", ""1 tablespoon chili powder, or more to taste"", ""1 tablespoon ground cumin"", ""1.125 teaspoons salt"", ""0.75 teaspoon ground black pepper"", ""0.75 teaspoon dried basil"", ""0.75 teaspoon dried oregano"", ""1 (28 ounce) can whole peeled tomatoes with juice"", ""3 cups black beans, undrained""]","[""Heat olive oil in a large pot over medium heat; cook and stir mushrooms, onion, carrot, green bell pepper, celery, garlic, chili powder, cumin, salt, black pepper, basil, and oregano in hot oil until onion begins to soften, 2 to 3 minutes."", ""Stir in tomatoes with their liquid, black beans and their liquid, water, tomato paste, red wine, and hot pepper sauce."", ""Bring chili to a boil, reduce heat to low, and simmer until vegetables are tender, about 20 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/220192/pub-style-vegetarian-chili/
127,Pumpkin Cake Cake Mix,15,1,380,10,25,17,15,15,5,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (18.25 ounce) package yellow cake mix"", ""4 eggs"", ""1 cup pumpkin"", ""0.75 cup white sugar"", ""0.5 cup vegetable oil"", ""0.25 cup water"", ""1 teaspoon ground cinnamon""]","[""Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking pan."", ""Mix yellow cake mix, pumpkin, eggs, sugar, vegetable oil, water, and cinnamon together in a large bowl; beat until well blended. Transfer to the baking dish."", ""Bake in the preheated oven until a toothpick inserted into the middle of the cake comes out clean, about 45 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/22572/pumpkin-cake-ii/
128,Asian Rainbow Trout,10,4,100,5,6,4,3,3,2,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""4 (6 ounce) fillets boneless, skinless rainbow trout"", ""2 teaspoons soy sauce"", ""1 teaspoon white sugar"", ""salt and pepper to taste"", ""1 teaspoon olive oil"", ""4 green onions, chopped"", ""1 teaspoon minced garlic"", ""1 teaspoon minced fresh ginger""]","[""Rub trout fillets with soy sauce. Season with sugar, salt, and pepper; set aside."", ""Heat olive oil in a large skillet over medium-high heat. Add green onions, garlic, and ginger; cook and stir until golden brown."", ""Add trout fillets and cook until brown and crispy, about 3 minutes. Flip fillets over and continue cooking until fish flakes easily with a fork, about 3 minutes more.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/138041/asian-rainbow-trout/
129,Vegan Basic Vanilla Cake,15,1,620,18,63,21,15,15,11,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup plain soy milk"", ""1 tablespoon apple cider vinegar"", ""1.5 cups unbleached all-purpose flour"", ""1 cup white sugar"", ""1 teaspoon baking soda"", ""1 teaspoon baking powder"", ""0.5 teaspoon salt"", ""0.33333334326744 cup canola oil"", ""0.25 cup water"", ""1 tablespoon lemon juice"", ""1 tablespoon vanilla extract"", ""0.25 teaspoon almond extract""]","[""Preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 8x8-inch baking dish."", ""Stir soy milk and vinegar together in a large glass measuring cup."", ""Whisk flour, sugar, baking soda, baking powder, and salt together in a bowl."", ""Briskly stir canola oil, water, lemon juice, vanilla extract, and almond extract into soy milk mixture using a fork; stir into flour mixture until batter is lump-free. Pour batter into the prepared baking dish."", ""Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/231616/vegan-basic-vanilla-cake/
130,Easy Casserole,15,1,400,8,20,28,0,30,4,"[""vegetarian"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1.5 pounds ground turkey"", ""4 potatoes, peeled and sliced"", ""2 tablespoons butter"", ""salt and pepper to taste"", ""1 (15 ounce) can cream-style corn"", ""1 (10.75 ounce) can condensed tomato soup""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""In a large skillet over medium-high heat, place the turkey and saute for 5 to 10 minutes, or until browned."", ""Place the sliced potatoes in the bottom of a lightly greased 2-quart casserole dish, cover with butter and season with salt and pepper to taste. Then layer the cream-style corn over the potatoes, top with the browned turkey meat, and then top with the tomato soup."", ""Cover and bake at 350 degrees F (175 degrees C) for 60 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/18815/easy-easy-casserole/
131,American Potato Salad,30,1,310,14,41,7,0,0,11,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""5 pounds red potatoes"", ""6 eggs"", ""2 cups mayonnaise"", ""1 onion, diced"", ""2 green onions, thinly sliced"", ""1 small green bell pepper, seeded and diced"", ""3 stalks celery, thinly sliced"", ""2 teaspoons salt"", ""1 teaspoon ground black pepper""]","[""Gather the ingredients."", ""Bring a large pot of water to a boil. Add potatoes, and cook for 15 to 20 minutes, or until tender but still firm. Drain, cool and cut into cubes."", ""Place eggs in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop."", ""In a large bowl, combine chopped potatoes and eggs. Mix together mayonnaise, chopped onion, green onion, green pepper, and celery. Season with salt and pepper, then mix well."", ""Cover, and refrigerate for several hours or overnight.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/39964/american-potato-salad/
132,Chicken Enchiladas Cream Chicken Soup,15,8,100,5,5,4,0,8,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (10.5 ounce) can condensed cream of chicken soup"", ""0.5 cup sour cream"", ""1 tablespoon margarine"", ""1 onion, chopped"", ""1 teaspoon chili powder"", ""2 cups chopped cooked chicken breast"", ""1 (4 ounce) can chopped green chile peppers, drained"", ""8 (8 inch) flour tortillas"", ""1 cup shredded Cheddar cheese""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Mix soup and sour cream in a small bowl; set aside."", ""Melt margarine in a medium saucepan over medium-high heat. Add onion and chili powder, and saut\u00e9 until tender. Stir in chicken, chile peppers, and 2 tablespoons of the soup mixture. Cook and stir until heated through."", ""Spread 1/2 cup of the soup mixture in a 9x13-inch baking dish. Spoon about 1/4 cup of the chicken mixture down the center of each tortilla. Roll up tortillas and place, seam-sides-down, in the baking dish. Spoon remaining soup mixture on top, and sprinkle with cheese."", ""Bake in the preheated oven until bubbly and lightly browned, about 25 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/22737/chicken-enchiladas-v/
133,Fresh Tomato Soup,5,6,100,5,5,2,2,6,1,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""4 cups chopped fresh tomatoes"", ""2 cups chicken broth"", ""4 cloves garlic"", ""1 slice onion"", ""2 tablespoons butter"", ""2 tablespoons all-purpose flour"", ""2 teaspoons white sugar, or to taste"", ""1 teaspoon salt""]","[""Gather the ingredients."", ""Combine tomatoes, chicken broth, garlic cloves, and a large slice of onion in a stockpot over medium heat. Bring to a boil, and gently simmer for about 15 to 20 minutes to blend flavors."", ""Remove from heat and run the mixture through a food mill into a large bowl, or pan. Discard any stuff left over in the food mill."", ""Melt butter over medium heat in the now empty stockpot. Stir in flour to make a roux by cooking, whisking constantly, until mixture turns medium brown."", ""Gradually whisk in a bit of the tomato mixture to prevent lumps from forming, then stir in the rest."", ""Season with sugar and salt to taste."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/39544/garden-fresh-tomato-soup/
